Questions,Answers,Justify Answers Below,Tags
Are physical devices and systems within the organization inventoried?,Fully Compliant,,Asset Management
Are software platforms and applications within the organization inventoried?,Fully Compliant,,Asset Management
Are cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g. suppliers. customers. partners) established?,Fully Compliant,,Asset Management
Business Environment,,,Asset Management
How is the facility physically secured?,Fully Compliant,All of our systems/ data is kept inside AWS facility which is SOC2 /ISO compliant,Asset Management
How is the facility environmentally controlled?,Fully Compliant,All of our systems/ data is kept inside AWS facility which is SOC2 /ISO compliant,Asset Management
Do you have a documented risk management program?,Fully Compliant,Yes,Asset Management
Risk Assessment,,,Asset Management
Does the program have a  process for conducting risk assessments?,Fully Compliant,Yes,Asset Management
Have you had independent penetration testing done?,Fully Compliant,Yes,Asset Management
Are internal and external threats identified and documented?,Fully Compliant,Yes,Asset Management
"Please provide the number of Critical, High and Medium findings.",Fully Compliant,Our Current VAPT is attached. No High/Critical finding are found,Asset Management
"Please provide the number of Critical, High and Medium findings remediated.",Fully Compliant,Our Current VAPT is attached. No High/Critical finding are found,Asset Management
Risk Management Strategy,,,Asset Management
Do you have a vuln mgmt program in place,,,Asset Management
Do you have vulnerability scans done?,Fully Compliant,Our Current VAPT is attached. No High/Critical finding are found,Asset Management
"Please provide the number of Critical, High and Medium findings.",Fully Compliant,Our Current VAPT is attached. No High/Critical finding are found,Asset Management
"Please provide the number of Critical, High and Medium findings remediated.",Fully Compliant,,Asset Management
"Do we have the right to run periodic, coordinated vulnerability scans against your application?",Fully Compliant,Yes. We can provide you seperate environment to run these tests. HB team needs to be informed of timing and durtion of the tests,Asset Management
Are suppliers and third-party partners routinely assessed using audits to meet their contractual obligations?,Fully Compliant,We do not use any partner to manage our services.,Asset Management
Will we have access to relevant system data and logs?,Fully Compliant,"Yes, Based on discussion relevant logs can be provided",Asset Management
Are response and recovery planning and testing conducted with suppliers and third-party providers?,Fully Compliant,N/A,Asset Management
"Identity Management, Authentication and Access Control",,,Asset Management
Who is authorized to access the application 7-11 is using,Fully Compliant,Selected set of HB employees will have access to selected non PII client data,Asset Management
Is physical access to assets managed and protected?,Fully Compliant,We do not have physical access of assets for any of our employees.,Asset Management
Is 7-11 consulted before access is granted to our data?,Fully Compliant,Any changes in ownership on HB side will be updated to client's team,Asset Management
How many of your employees will have administrative access to Company data?,Fully Compliant,None of HB users will have access to PII Data. Rest of the data access be decided and updated based on site launch accordingly,Asset Management
SAML???,Fully Compliant,We can do SAML/SSO Integration,Asset Management
SSO???,Fully Compliant,We can do SAML/SSO Integration,Asset Management
PASSWWORD??? COMPLEXITY??,Fully Compliant,"Incase of non sso integration, we will have user account created on our side. Password policy is attached",Asset Management
Is remote access managed?,Fully Compliant,Remote access policy attached.,Asset Management
,,,
,,,
,,,
"Identity Management, Authentication and Access Control",,,PROTECT
Who is authorized to access the application 7-11 is using,Fully Compliant,Selected set of HB employees will have access to selected non PII client data,PROTECT
Is physical access to assets managed and protected?,Fully Compliant,We do not have physical access of assets for any of our employees.,PROTECT
Is 7-11 consulted before access is granted to our data?,Fully Compliant,Any changes in ownership on HB side will be updated to client's team,PROTECT
How many of your employees will have administrative access to Company data?,Fully Compliant,None of HB users will have access to PII Data. Rest of the data access be decided and updated based on site launch accordingly,PROTECT
Is remote access managed?,Fully Compliant,Yes,PROTECT
What controls are in place to provide accountability for their actions?,Fully Compliant,All activity on systems are logged against users,PROTECT
Are reports available showing actual accesses to data?,Fully Compliant,All activity on systems are logged against users,PROTECT
Awareness and Training,,,PROTECT
Are all users informed and trained?,Fully Compliant,,PROTECT
Is periodic security training provided/mandatory?,Fully Compliant,Yes. All employees goes through yearly Security training as part of our ISO and PCIDSS certification requirements,PROTECT
Is the access removed if/when personnel demonstrate questionable integrity?,Fully Compliant,,PROTECT
Data Security,,,PROTECT
How is Data transported,Fully Compliant,All data transfer outside of our VPC happens only through secure channels,PROTECT
What types of firewalls do you utilize?,Fully Compliant,We use AWS Firewall manager,PROTECT
Do you have a Web Application Firewall (WAF)?,Fully Compliant,we use AWS WAF,PROTECT
Is data at rest and -in-transit protected?,Fully Compliant,All data in trasit or at rest is encrypted,PROTECT
Is data stored in an encrypted format?,Fully Compliant,,PROTECT
Please describe encryption policies and key management.,Fully Compliant,WE use AWS KMS for key management and do regular rotation of keys,PROTECT
"Describe your availability in regards to capacity, redundancy, and failover.",Fully Compliant,We have capabilty to run services incase 1-2 availability zone goes out of service,PROTECT
Will your application run on a dedicated or leveraged server?,Fully Compliant,WE use AWS EC2 to run our servers,PROTECT
Are integrity checking mechanisms used to verify hardware integrity?,Fully Compliant,,PROTECT
Is there a documented server hardening process?,Fully Compliant,,PROTECT
Are the development and testing environment(s) separate from the production environment?,Fully Compliant,,PROTECT
How do you ensure that operating system patches and software updates are applied in a timely manner?,Fully Compliant,,PROTECT
Information Protection Processes and Procedures,,,PROTECT
What framework is the Application built on?,Fully Compliant,Our application is developed on Django frameword,PROTECT
Is there a System Development Life Cycle to manage systems implemented?,Fully Compliant,SDLC Procedure attached.,PROTECT
Are configuration change control processes in place?,Fully Compliant,Yes,PROTECT
Are backups of information conducted. maintained. and tested?,Fully Compliant,Yes,PROTECT
How far is the DR site located from the primary site?,,We keep our data in all Availability zone of AWS mumbai.,PROTECT
What is your data retention policy,,Data protection policy attached.,PROTECT
Is an Incident Response and Business Continuity plan in place?,Fully Compliant,Incident management policy attached,PROTECT
How often is it tested and when was the last test?,Fully Compliant,,PROTECT
Is a Disaster Recovery Plan in place?,Fully Compliant,,PROTECT
How often is it tested and when was the last test?,Fully Compliant,Half yearly. Last test was done on 20th Feb,PROTECT
Is a response plan executed during or after an event?,Fully Compliant,,PROTECT
Is a vulnerability management plan developed and implemented?,Fully Compliant,Yes,PROTECT
Maintenance,,,PROTECT
Is maintenance and repair of facility meet standards?,Fully Compliant,We use AWS for System management. They are SOC2 and ISO certified,PROTECT
Do you have water detection?,Select Answer,N/A,PROTECT
Describe your fire suppression systems.,Select Answer,N/A,PROTECT
"Describe your electrical supply in regards to UPS, generators, etc.",Select Answer,N/A,PROTECT
Protective Technology,,,PROTECT
Are audit/log records determined. documented. implemented. and reviewed in accordance with policy?,Fully Compliant,,PROTECT
,,,
,,,
,,,
Anomalies and Events,,,DETECT Anomalies and Events
Are detected events analyzed to understand attack targets and methods?,Fully Compliant,Yes,DETECT Anomalies and Events
Are incident alert thresholds established?,Fully Compliant,Yes,DETECT Anomalies and Events
Security Continuous Monitoring,,,DETECT Anomalies and Events
Is the network monitored to detect potential cybersecurity events?,Fully Compliant,Yes,DETECT Anomalies and Events
Is the physical environment monitored to detect potential cybersecurity events?,Fully Compliant,We use AWS for  infrastructure. They are SOC2 and ISO certified,DETECT Anomalies and Events
Is personnel activity is monitored to detect potential cybersecurity events?,Fully Compliant,,DETECT Anomalies and Events
Is external service provider activity monitored to detect potential cybersecurity events?,Fully Compliant,,DETECT Anomalies and Events
Are vulnerability scans performed?,Fully Compliant,,DETECT Anomalies and Events
Detection Processes,,,DETECT Anomalies and Events
Do you have an Intrusion Prevention System?,,,DETECT Anomalies and Events
Do you use an Intrusion Detection System?,Fully Compliant,Yes,DETECT Anomalies and Events
Who monitors it?,Fully Compliant,Internal teams manages it,DETECT Anomalies and Events
Is it done in real-time?,Fully Compliant,Yes,DETECT Anomalies and Events
Is anti-virus running on all servers?,Fully Compliant,Yes,DETECT Anomalies and Events
Is Application Whitelisting used on all servers?,Fully Compliant,Yes,DETECT Anomalies and Events
Is application Whitelisting set to monitor or enforcement mode?,Fully Compliant,Yes,DETECT Anomalies and Events
"If anti-virus used, do you perform live or scheduled scans?",Fully Compliant,Live Scan,DETECT Anomalies and Events
Are detection processes tested?,Fully Compliant,Yes,DETECT Anomalies and Events
