Question,Response,Comment,attachment(s),Follow-up Question,Follow-up Response,,EA Result,EA Comments
"05 - Is there an information Security Program?
(The Custodian is the person responsible for overseeing and writing the information security program)
If YES: 
- Provide the name an title of the Custodian
- Provide the date the Security Program was last published
Describe how the information security program and its policies/processes is managed
If NO: Indicate the controls in place to ensure program, policies and processes are properly managed/maintained.
If N/A: Elaborate why this is not applicable.",Yes,Kalyan Singh Rathore (DPO),,,,,,
"06 - Is there an Information Security Program policy and what standard framework is it based on?
(e.g. ISO 27001/NIST CSF/ HiTrust CSF, etc.)
If YES: Who owns the policy, when was it last updated, and what is the policy entitled?
If NO: Describe the rationale for not having such a policy in place.
if N/A: Elaborate why having such a policy is not applicable.",Yes,ISO27001,Information Security Policy attached.,,,,,
"501 - Is there a Data Loss Prevention (DLP) process with supportin policies and technical procedures?
- Describe the risk based approach to DLP on executing DLP technology;
If YES: Who owns the policy, when was it last updated, and what is the policy entitled?
If NO: Describe the rationale for not having such a policy in place.
if N/A: Elaborate why having such a policy is not applicable.",Yes,,Data Loss Prevention Policy attached.,,,,,
"502 - Is there a Threat Intelligence process?
(e.g., monitoring dark web for credential leakage, feeding TI into software development   & application maintenance )
If YES: Who owns the policy, when was it last updated, and what is the policy entitled?
If NO: Describe the rationale for not having such a policy in place.
if N/A: Elaborate why having such a policy is not applicable.",Yes,Policy is reviewed yearly atleast.,,,,,,
"30 - Are policies, standards, and procedures, reviewed and approved by leadership at least annually?
If YES: Describe how your company's policies, standards and procedures are established, maintained, published and executed.
If NO: Describe how your company establishes, maintains, and executes information security standards and procedures.
if N/A: Elaborate why this is not applicable.",Yes,,,,,,,
"35 - Is there an information security risk assessment process which incorporates process/information owner oversight?
If YES: Provide an overview of the risk assessment process and methodologies
If NO: How will risk be assessed?
if N/A: Elaborate why this is not applicable.",Yes,,,,,,,
"43 - Have designated custodians for all sensitive information been identified along with defined responsibilities?
If YES: Describe the policy, standard or procedure documenting how information ownership is determined. 
If NO: Indicate the controls in place to ensure information is properly  classified, labeled, shared and used.
if N/A: Elaborate why this is not applicable.",Yes,,Governance Policy attached.,,,,,
"49 - Are workstations and devices used to store, process or transmit any sensitive data locked or logged off when unattended, and physically secured when not in use?
If YES: Describe the process controls (e.g., auto-locking, cable locks, secure containers, etc.).
If NO: Provide the business justification and/or identify any compensating controls.
if N/A: Elaborate why this is not applicable.",Yes,All sensitive data remains inside our VPC inside our cloud environment,,,,,,
"52 - Has whole disk encryption for workstations & laptops been implemented
If YES: Describe the encryption solution (product and version) with algorithm and key length used and the process to ensure all laptops with sensitive information have the encryption solution installed.
If NO: Provide the business justification and/or identify any compensating controls.
if N/A: Elaborate why this is not applicable.",Yes,,Data encryption policy attached,,,,,
"57 - Is a documented process or procedure in place to ensure sensitive information is identified and receives the correct label per the information classification scheme?
(Personal Data (sometimes referred to as Personally Identifiable Information (PII) or personal information) is generally classified as AXP Restricted (or, external to AXP: as ""sensitive"").)
If YES: Describe the procedure used to label information.
If NO: Describe how the controls associated with the information are appropriate, per its information classification.
if N/A: Elaborate why this is not applicable.",Yes,,Data Classification Policy attached.,,,,,
"58 - Are documented controls in place to protect sensitive information from inappropriate disclosure, misuse and unauthorized access?
Are information data classifications displayed?
If YES: Describe the information protection process controls used to support various classifications of information.
If NO: Provide the business justification and/or identify any compensating controls.
if N/A: Elaborate why this is not applicable.",Yes,,Data Protection Policy attached.,,,,,
"64 - Are controls in place to securely dispose of data (both for media AND digital data)?
Secure disposal means not being able to recover the data once disposed.
If YES: Describe the documentation.
If NO: Provide business justification. 
if N/A: Elaborate why this is not applicable.",Yes,,Data Disposal Policy attached.,,,,,
"66 - Is sensitive information appropriately protected, according to its classification, as it is transported or stored (including physical or electronic)?
If YES: Describe the information transmission processes and their controls.
If NO: Provide the business justification and/or identify any compensating controls.
if N/A: Elaborate why this is not applicable.",Yes,,Data Protection Policy attached.,,,,,
"69 - Are controls in place to ensure that  systems and/or processes prohibit the use of removable media?
If YES: Describe the controls.
If NO: Provide the business justification and/or identify any compensating controls.
if N/A: Elaborate why this is not applicable.",Yes,,,,,,,
"83 - Is there a process or procedure for reporting, responding and resolving information security incidents?
- including reporting of security incidents to American Express EIRP?
- including but not limited to lost or stolen equipment (i.e., laptops, workstations)?
(An information security incident is any event that intentionally or unintentionally results in unauthorized or inappropriate collection, use, access, disclosure, modification or exposure of company systems, applications, or data.)
If YES: Describe the process or procedure.
How will such events be reported to AXP's Enterprise Incident Response Program (EIRP)?
If NO: Provide the business justification and/or identify any compensating controls.
if N/A: Elaborate why this is not applicable.",Yes,,Incident Management Policy attached.,,,,,
"99 - Is there an Access Control Standard that describes how access to information is managed?
If YES: Describe the documentation.
If NO: Provide business justification or any technical limitations, and identify any compensating controls. 
if N/A: Elaborate why this is not applicable.",Yes,,Data Access Policy attached.,,,,,
"100 - Are there rules or principles defined for assigning access to information systems (i.e. concept of least privilege, role-based, need-to-know)?
If YES: Describe the process used to ensure access is granted based upon these principles.
If NO: Provide the business justification and/or identify any compensating controls.
if N/A: Elaborate why this is not applicable.",Yes,,Governance Policy attached.,,,,,
"101 - Are there controls in place that ensure access to information is approved or permitted by the information resource owner or delegate?
If YES: Describe the process and controls that ensure access is granted only upon approval by the appropriate individual.
If NO: Provide the business justification and/or identify any compensating controls.
if N/A: Elaborate why this is not applicable.",Yes,Any data transfer from our VPC to outside needs to go through approval process goverend by CTO,,,,,,
"102 - Are there controls that ensure access to information is removed when it is no longer required?
If YES: Describe the process and controls that ensure access is removed when no longer required.
If NO: Provide the business justification and/or identify any compensating controls.
if N/A: Elaborate why this is not applicable.",Yes,,Data Disposal Policy,,,,,
"104 - Are user access controls for privileged (administrator) accounts reviewed periodically for accuracy and appropriateness and granted on the principle of least privilege?  
(Note: Administrative (Privileged) Access is access that allows the ability to change, modify, administer, configure, manage, secure and/or monitor computing systems, network accounts, services and/or networks.
Typical roles include system administrators, network administrators and technology staff performing computing account administration.)
If YES: Describe the process and controls for privileged access that are unique from basic access. 
If NO: Provide the business justification and/or identify any compensating controls.
if N/A: Elaborate why this is not applicable.",Yes,Privileged Accounts are monitored and managed at centralised level and access for same is given to very limited set of users . This access is verified and approved every three months or at departure of any employee from technology team.,,,,,,
"111 - Is Segregation Of Duties documented?
If YES: Describe the documentation.
If NO: Provide business justification or any technical limitations. 
if N/A: Elaborate why this is not applicable.",Yes,,,,,,,
"117 - Is each ID associated with a single accountable individual or role and there controls in place to prevent sharing of IDs?
(ID Type Descriptions:
 - User IDs: identify an individual person
 - Service IDs: identify a technical entity; for automated processes; may also be known as application, automation or faceless IDs
 - System IDs: identify a technical entity; native to hardware and/or software (i.e., they exist by default as part of the product installation)
 - Computer IDs: identify a physical or virtual computing device (e.g., laptop, server))
If YES: Describe the ID assignment and tracking process and its controls for individual accountability.
If NO: Provide the business justification and/or identify any compensating controls.
if N/A: Elaborate why this is not applicable.",Yes,"All Access in system is at USer ID level and we do not have any common service, system id in place for any purpose.",,,,,,
"118 - Are IDs compliant with the following requirements?
 - used for the intended purpose
 - controlled through a documented ID management lifecycle
 - use one or more approved authentication credentials
 - have a documented business need or justification for the ID and/or the entitlements
 - ensure that transactions or activities performed are associated with the accountable individual
If YES: Describe the ID management process and its applicable controls.
If NO: Provide the business justification and/or identify any compensating controls.
if N/A: Elaborate why this is not applicable.",Yes,All access to system is at user id level and access for same is reviewed and revised via roles and scopes management,,,,,,
"119 - Are User IDs compliant with the following requirements?
 - associated with a unique and active identifier (e.g., Employee or Contractor Number)
 - disabled at the end of the session, when used for testing or training purposes
 - disabled or suspended when inactive for no more than 180 days
 - deleted when inactive for no more than 365 days
 - disabled upon termination of an individual's employment or business relationship
(User IDs identify an individual person.)
If YES: Describe the ID management process and its applicable controls.
If NO: Provide the business justification and/or identify any compensating controls.
if N/A: Elaborate why this is not applicable.",Yes,,,,,,,
"120 - Are user access rights regularly reviewed and recertified, in an auditable manner, to confirm access is still necessary?
If YES: Describe the ID access review process and its applicable controls.
If NO: Provide the business justification and/or identify any compensating controls.
if N/A: Elaborate why this is not applicable.",Yes,,,,,,,
