Question,Vendor information security program and general technology controls,"Subservice or Outsource Provider
Y/N",Comments and Attachments Section:,Tags,ref
General Program Section,,,,,General Program Section,
1,Does your organization have a formal and documented information risk management program?,Yes,,,General Program Section,
2,Is the information risk management program approved by senior management?,Yes,,,General Program Section,
3,Is the information security program approved by senior management?,Yes,,,General Program Section,
4,Does your organization have a formal and documented information security program?,Yes,,,General Program Section,
5,Does your organization have a Chief Information Security Officer (CISO)?,No CISO position,,Currently CISO role is covered under CTO role.,General Program Section,
6,Does the organizations Board of Directors or equivalent receive an update on the Information Security Program?,Yes,,,General Program Section,
7,Is your information security program evaluated by an independent third party or an independent internal audit function?,Yes,,,General Program Section,
7a,"If Yes, how often is it performed?",Annually,Yes,,General Program Section,Is your information security program evaluated by an independent third party or an independent internal audit function?
7b,"If Ad hoc, when was it last performed?",,,,General Program Section,Is your information security program evaluated by an independent third party or an independent internal audit function?
8,"Does your organization have formal, documented information security policy(s) and security standards?",Yes,,,General Program Section,
9,Are the security policy(s) and standards approved by senior management?,Yes,,,General Program Section,
10,Are the security policies and standards reviewed at least annually?,Yes,,,General Program Section,
11,Are the security policies and standards communicated to employees and contractors at least annually?,Yes,,,General Program Section,
12,Is compliance to the policies and standards monitored?,Yes,,,General Program Section,
13,"Do you have formal security configuration standards based on independent third parties (e.g., NIST or Center for Internet Security) or an internally developed, customized standard configuration document?",Internally developed,,,General Program Section,
14,Does your organization have an end user computing policy covering topics such as acceptable use of electronic resources and social media?,Yes,,,General Program Section,
15,"Are pre-employment background checks completed for all employees of the firm, contractors, sub-contractors or other vendor personnel? Which should include, but is not limited to: prior employment, criminal, credit, professional, academic, references and drug screening (unless prohibited by law)?",Yes,,,General Program Section,
16,Are all employees required to sign non-disclosures and/or ethics agreements?,Yes,,,General Program Section,
17,Are all employees and contractors required to undergo annual security training?,Yes,,,General Program Section,
Cyber Security,,,,,,
1,Does your organization have a Cyber Security / Cyber Resiliency program?,Yes,,,Cyber Security,
2,Is the program focused on proactive disciplines?,Proactive and Reactive,,,Cyber Security,
3,Is your information security program evaluated by an independent third party or an independent internal audit function?,,,,Cyber Security,
3a,Monitoring?,Yes,,,Cyber Security,Is your information security program evaluated by an independent third party or an independent internal audit function?
3b,Threat analytics?,Yes,,,Cyber Security,Is your information security program evaluated by an independent third party or an independent internal audit function?
3c,Advanced malware protection?,Yes,,,Cyber Security,Is your information security program evaluated by an independent third party or an independent internal audit function?
