ID,Basis of the control,Control points NIST Categories,Tags,Title,Control point,Expected evidence,Applicability,,Justification of Non-applicability,Document name,"Details (chapter, page, paragraph/section)",Supplier comments
CTRPT-VEND-GOV-01,ITRMG-REQ-OUT-01-01,Organisational,IT Governance,Supplier's contact,BNPP's main interlocutor regarding the risks of outsourced services is a manager identified at the supplier.,Appointment to the Designated Person's Contract - Job description dated and signed by the Designated Person,Applicable,Applicable,,,,
CTRPT-VEND-GOV-02,ITRMG-REQ-OUT-01-02,Organisational,IT Governance,IT Risk Committee,the supplier's security officer maintains and coordinates an IT risk management committee at the frequency defined by BNPP. It communicates a report for validation by BNPP within 2 working days after each committee.,Committee presentation and minute,Applicable,Not Applicable,Our product/offering is not accessing any BNP servers/systems at any point.,,,
CTRPT-VEND-GOV-03,"ITG00xx - Rule ""A contract or agreement for each outsourcing""",Organisational,IT Governance,contract or agreement systematization,"The contract contains the clauses and annexes (security, continuity, etc.) necessary for a good control of the risk due to outsourcing. The BNPP requirements are thus specified, as well as the controls to check their correct application and the regular and exceptional reports expected from the service provider.","Contract: Security Clause, Business Continuity, Confidentiality, Reversibility and Security Appendix",Applicable,Applicable,,BCP Plan attached,,
CTRPT-VEND-GOV-04,"ITG00xx - Rule ""Monitoring report""",Organisational,IT Governance,Monitoring report,"The supplier shall provide at each steering committee a formalized monitoring report, the dashboard of which must include :
• The Key Risk Indicators (KRI) defined in the SLA
• Monitoring IT and Cyber security incidents.
• In case of high availability level (3+), The results of the Computer Continuity, Business Continuity and Crisis tests.
• In case of outsourcing of application development, the results of the secure coding tests retained
• Audits and reviews with their results
• Follow-up of remediation plans",Committee presentation and minute,Applicable,Not Applicable,,,,Shared
CTRPT-VEND-GOV-05,"EXT-CSBG-05-1
EXT-CSBG-05-2",Organisational,IT Governance,List of the activities,"The contract lists the activities provided by BNPP to the service provider. This list must contain in particular information on the level of data security (CIDT), the nature of the data (privileged, personal, banking secrecy, ...) the RTO / RPO of the activity.","Contract with the list of BNPP assets accessed by the service provider and their risk criteria: CIDT classification, business sensitivity, banking, compliance and their RTO / RPO",Applicable,Not Applicable,Our product/offering is not accessing any BNP servers/systems at any point.,,,
CTRPT-VEND-GOV-06,ITRMG-REQ-OUT-01-03,Organisational,IT Governance,Policies management,The Supplier has validated and up-to-date organizational policies and procedures.,"IT & Cyber Risks policies/procedures, validated and still applicable (date of applicability in progress) ; notably, the Cybersecurity governance process, roles, responsibilities, committees, etc.",Applicable,Applicable,,Governance Policy attached,,Shared
CTRPT-VEND-GOV-07,"ITRMG-REQ-OUT-01-04
ITRMG-REQ-OUT-01-04
ITRMG-REQ-OUT-01-05",Organisational,IT Governance,IS Security policy,"The supplier has validated and up-to-date information systems security policy that cover in particular the needed topics: Identity and access management, Password policy, Change management, Home working, …","IT & Cyber Risks policies/procedures, validated and still applicable (date of applicability in progress): notably IS security policy, Identity and access management, Password policy, etc.",Applicable,Applicable,,"Data access policy, password policy, Information security policy attached",,Shared
CTRPT-VEND-GOV-08,ITRMG-REQ-OUT-13-08,Organisational,IT Governance,Applications security,"In case of application development, The supplier has formalized a security development lifecycle (SDLC) associated with the selected profile of the application.","SDLC policies/procedures, validated and still applicable (date of applicability in progress)",Applicable,Applicable,,SDLC Procedure attached.,,Shared
CTRPT-VEND-ITPP-01,ITRMG-REQ-OUT-11-03,Organisational,IT Purchasing & procurement,Audit - BNPP audit costs,"The supplier provide audit logs recording all technicals/systems processing of environments containing real data. This logs record who, when and what.","Extract of the logs implemented that store the requested information for the period defiied in the contract. Personal data is erased or anonymised if it exists.
Report of all the logs implemented by the supplier to store the actions on its assets necessary for the service delivery.",Applicable,Not Applicable,We do anonymize all PII data from our logs. ISO certification attached,,,
CTRPT-VEND-ITPP-02,"ITRMG-REQ-OUT-11-04
ITRMG-REQ-OUT-11-06",Organisational,IT Purchasing & procurement,Access control / logs,"The supplier provide audit logs recording exceptions, and information security events on systems supporting the Service (e.g.  malware detection, ...). Logs are available at least for the period defined as per applicable regulations or contractual obligations.","Extract of the logs implemented that store the requested information for the period defiied in the contract. Personal data is erased or anonymised if it exists.
Report of all the logs implemented by the supplier to store the actions on its assets necessary for the service delivery.",Applicable,Not Applicable,We do anonymize all PII data from our logs. ISO certification attached,,,
CTRPT-VEND-ITPP-03,"ITRMG-REQ-OUT-11-05
ITRMG-REQ-OUT-11-06",IT Purchasing & procurement,IT Purchasing & procurement,Access control / logs,The supplier provide audit logs recording individually physical accesses and management actions of the physical access control system. Logs are available at least for the period defined as per applicable regulations or contractual obligations.,"Extract of the logs implemented that store the requested information for the period defiied in the contract. Personal data is erased or anonymised if it exists.
Report of all the logs implemented by the supplier to store the actions on its assets necessary for the service delivery.",Applicable,Not Applicable,,,,
