DPR Q in Aravo,(MSFT) Suggested Assessment Criteria,Applicability,Response,Comments,DRL/ Evidence to Provide,Team Responsible,DRL Status,Comments,Results,Company,tags
,,,,,,,,,,,
"Before the supplier may Process Microsoft Personal or Confidential Information, it must:",,,,"EVERY ""Not Compliant"" response MUST have a Comment (response) in the Aravo tool.  Compliant Comments do not need to be entered in the Tool, but are required by RSM
",,,,,,Microsoft,Management
"Each applicable agreement between Microsoft and the
supplier (e.g., master agreement, statement of work,
purchase orders and other orders) contains privacy and
security data protection language with respect to
Microsoft Confidential and Personal Data, as applicable,
including prohibitions on the sale of Microsoft Personal
Data and Processing of Microsoft Personal Data outside
the direct business relationship between Microsoft and
supplier.

For companies operating as Processors or Subprocessors in connection with the Performance, with respect to Microsoft Personal Data, the agreement must include the subject-matter and duration of the Processing, the nature and purpose of the Processing, the type of Microsoft Personal Data and categories of Data Subjects and the obligations and rights of Microsoft.
","Supplier must present the applicable contract between Microsoft and Supplier.

For Processors and Subprocessors, the Processing descriptions are contained in the applicable agreement (e.g., statement of work, purchase orders).

Note: Companies with in-flight purchase orders may have the necessary description of Processing activities added later in the purchasing process.
",,,,"Attached Document: 

Microsoft SOW Agreement",Legal Team,Open,,,Microsoft,Management
"Assign responsibility and accountability for compliance
with the DPR to a designated person or group within the
company.","Name of the person or group charged with ensuring compliance to the Microsoft Supplier DPR.

A document describing the authority and accountability of this person or group that demonstrates a privacy and/or security role.
",,,,"Attached Document: 

Point 2: Authority.pdf",Information Security Team/ Compliance Team,Open,,,Microsoft,Management
"Establish, maintain, and perform annual privacy and security training for employees that will have access to
Personal Data Processed by supplier in connection with
Performance or Microsoft Confidential Data.

If your company does not have prepared content, you can
use this storyboard outline and adapt it for your company.

Note: Supplier personnel may be required to complete
additional trainings provided by Microsoft divisions.
","Annual records of attendance are available and can be provided to Microsoft upon request.

Training content includes privacy and security principles.
",,,"Below are the points covered in our training - 
1. Safe Browsing: Validating Safe Sites & Links
2. Password Selection: What is good Password
3. Email Security: Spoof and Managing Attachement
4. Hardware Safety: Laptop and Mobile Access Safety
5. Social Engineering","Attached Document: 

security-awareness-policy",Information Security Team/ Compliance Team,Open,,,Microsoft,Management
"Process Microsoft Personal Data only in accordance with
Microsoft’s documented instructions including, scenarios
with regard to transfers of Microsoft Personal Data to a
third country or an international organization, unless
required to do so by Law; in such a case, the Processor or Subprocessor (supplier) shall inform the controller
(Microsoft) of that legal requirement before Processing,
unless that Law prohibits such information on important
grounds of public interest.
","Supplier compiles and maintains all Microsoft documented instructions (e.g., agreement,
statement of work or order documentation) electronically, in an easily accessible location to
supplier’s employees and contractors participating in the Performance.
",,,Mobile number is shared with Payment gateways if required,"Attached Document : 
Microsoft SOW Agreement",Legal Team,Open,,,Microsoft,Management
,,,,,,,,,,Microsoft,
"The supplier must use the Microsoft Privacy Statement
when collecting Personal Data on Microsoft’s behalf.

The privacy notice must be obvious and available to Data
Subjects to help them decide whether to submit their
Personal Data to the supplier.

Note: Where your company is the Controller of the
Processing activity, you would post your own privacy
notice.
","Supplier uses a fwdlink to the current, published Microsoft Privacy Statement.

The Privacy Statement is posted in any context where a user’s Personal Data will be collected.

If applicable, an offline version is available and is provided prior to data collection.

Any offline Privacy Statements used are the latest, published version and are dated properly.

For Microsoft employee services, the Microsoft Data Protection Notice is used. 
",,,"We are controller of the processing activity

1. Data Collection Process:  Data of Microsoft Employees is sent by the Microsoft Admin to HungerBox and HungerBox registers the employees on the system

2. Privacy notice: Privacy notice is made avalable online

3. Data collected is transmitted through HTTPs protocols and is encrypted while stored at Rest. For more details refer to the data protection policy, section 5.3 and 5.4

4.Attached screenshot of the feature where the consent is obtained if the user signs up on the Application","https://hungerbox.com/privacy-policy.html
Attached - 
5.DSR_consent

and 

Data Protection Policy",Information Security Team/ Compliance Team,Open,,Only Hungerbox privacy policy in place,Microsoft,Notice
"When collecting Microsoft Personal Data via a live or
recorded voice call, suppliers must be prepared to discuss the applicable data collection, handling, use, and retention practices with Data Subjects.
","A script for voice recordings includes how Microsoft Personal Data is Processed, and includes:
▪ collection,
▪ use and
▪ retention.
",,,"We do not collect any data on lie voice recording calls, as the business model is developed for the Microsoft employees to order food in the cafeteria",NA,Operations Team,N/A,,,Microsoft,Notice
,,,,,,,,,,Microsoft,
