Question/Request,Response,Maturity,Additional Information,AUP Reference,ISO 27002:2013 Relevance,,tags,company
,,,,,,,,
"Is there a risk assessment program that has been approved by management, communicated to constituents and an owner to maintain and review the program? if yes, does it include:",Yes,,Network Security Policy,A.1 IT & Infrastructure Risk Governance and Context,5.1 6.1.2,"Leadership & Commitment, Information Security Risk Assessment",Risk Assessment and Treatment,ZS
"Do Subcontractors have access to Scoped Systems and Data? (backup vendors, service providers, equipment support maintenance, software maintenance vendors, data recovery vendors, etc.)? If yes, is there:",No,,,,15,Supplier relationships,Risk Assessment and Treatment,ZS
"A documented vendor management process in place for the selection, oversight and risk assessment of third party vendors? If yes, does it include:",N/A,,,A.7 Subcontractor Selection and Management Process,15.1.1,Information security policy for supplier relationships,Risk Assessment and Treatment,ZS
Is there a vendor management program?,Yes,,,A.5 Vendor Risk Management Program,,,Risk Assessment and Treatment,ZS
Do external parties have access to Scoped Systems and Data or processing facilities?,No,,,,15,Supplier relationships,Risk Assessment and Treatment,ZS
"Is the maturity of IT management processes formally evaluated at least annually using an established benchmark (e.g., COBIT maturity models)?",Yes,,,,17.1.3,"Verify, review and evaluate information security continuity",Risk Assessment and Treatment,ZS
"Are there regular privacy risk assessments conducted? If yes, provide frequency and scope. If no, explain reason.",Yes,,"We perform VAPT anually on our Android, IOS and PWA platforms",P.3 Privacy Organization and Program Maintenance,15.1.3.i,Information and communication technology supply chain,Risk Assessment and Treatment,ZS
Are identified privacy risks and associated mitigation plans formally documented and reviewed by management?,Yes,,Incident Management Policy,P.3 Privacy Organization and Program Maintenance,15.1.1.l,Information security policy for supplier relationships,Risk Assessment and Treatment,ZS
Are reasonable resources (in time and money) allocated to mitigating identified privacy risks?,Yes,,,P.3 Privacy Organization and Program Maintenance,,,Risk Assessment and Treatment,ZS
Is there a compliance risk management system that addresses the quality and accuracy of reported consumer data?,Yes,,,P.3 Privacy Organization and Program Maintenance,,,Risk Assessment and Treatment,ZS
Is there a compliance risk management system that addresses the quality of assembling and maintaining the data?,Yes,,,P.3 Privacy Organization and Program Maintenance,,,Risk Assessment and Treatment,ZS
,,,,,,,,
"Is there an information security policy that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy?",Yes,,Information security policy,B.1 Information Security Policy Maintenance,5.1.1,Policies for information security,Security Policy,ZS
Have the policies been reviewed in the last 12 months?,Yes,,,B.1 Information Security Policy Maintenance,5.1.2,Review of the policies for information security,,ZS
,,,,,,,,
Is there a Assessee information security function responsible for security initiatives?,Yes,,Security Policy,C.1 Security Organization Roles / Responsibilities,6.1.1,Information Security Roles and Responsibilities,Organizational Security,ZS
,,,,,,,,
"Is there an asset management policy approved by management, communicated to constituents and an owner to maintain and review?",Yes,,Asset management Policy by IT,D. Asset and Information Management,8.1,Responsibility for Assets,Asset and Information Management,ZS
Is information classified?,,,Need more clarification,D.1 Asset Accounting and Inventory,8.2.1,Classification of Information,Asset and Information Management,ZS
"Is there a removable media policy or program (CDs, DVDs, tapes, disk drives) that has been approved by management, communicated to appropriate constituents, and an owner to maintain and review the policy?",Yes,,Data disposal policy,D.4 Removable Device Security,8.3.1,Management of Removable Media,Asset and Information Management,ZS
Is Scoped Data sent or received via physical media?,No,,,D.2 Physical Media Tracking,8.3.3,Physical Media in Transit,Asset and Information Management,ZS
Are encryption tools managed and maintained for Scoped Data? If yes:,,,,D.5 Data Security Policy - Encryption,10.1,Cryptographic controls,Asset and Information Management,ZS
Are clients provided with the ability to generate a unique encryption key?,,,,D.5 Data Security Policy - Encryption,10.1.2,Key Management,Asset and Information Management,ZS
Are clients provided with the ability to rotate their encryption key on a scheduled basis?,,,,D.5 Data Security Policy - Encryption,10.1.2,Key Management,Asset and Information Management,ZS
Are staff able to access client Scoped Data in an unencrypted state?,No,,,H.3 Logical Access Authorization,"9.2.3
9.4.6",Management of privileged access rights Information access restriction,Asset and Information Management,ZS
