Term,Definition,Source,Tags
Cloud Computing - NIST Definition of Essential Characteristics - Measured Service,"Cloud systems automatically control and optimize resource use by leveraging a metering capability at some level of abstraction appropriate to the type of service (e.g., storage, processing, bandwidth, and active user accounts). Resource usage can be monitored, controlled, and reported, providing transparency for both the provider and consumer of the utilized service.",,Glossary
Cloud Computing - NIST Definition of Essential Characteristics - On-Demand Self-Service,"A consumer can unilaterally provision computing capabilities, such as server time and network storage, as needed automatically without requiring human interaction with each service’s provider.",,Glossary
Cloud Computing - NIST Definition of Essential Characteristics - Rapid Elasticity,"Capabilities can be rapidly and elastically provisioned, in some cases automatically, to quickly scale out and rapidly released to quickly scale in. To the consumer, the capabilities available for provisioning often appear to be unlimited and can be purchased in any quantity at any time.",,Glossary
Cloud Computing - NIST Definition of Essential Characteristics - Resource Pooling,"The provider’s computing resources are pooled to serve multiple consumers using a multi-tenant model, with different physical and virtual resources dynamically assigned and reassigned according to consumer demand. There is a sense of location independence in that the customer generally has no control or knowledge over the exact location of the provided resources but may be able to specify location at a higher level of abstraction (e.g., country, state, or datacenter). Examples of resources include storage, processing, memory, network bandwidth, and virtual machines.",,Glossary
Cloud Computing - NIST Definition of Service Models - Cloud Infrastructure as a Service (IaaS),"The capability provided to the consumer is to provision processing, storage, networks, and other fundamental computing resources where the consumer is able to deploy and run arbitrary software, which can include operating systems and applications. The consumer does not manage or control the underlying Cloud infrastructure but has control over operating systems, storage, deployed applications, and possibly limited control of select networking components (e.g., host firewalls).",,Glossary
Cloud Computing - NIST Definition of Service Models - Cloud Platform as a Service (PaaS),"The capability provided to the consumer is to deploy onto the Cloud infrastructure consumer-created or acquired applications created using programming languages and tools supported by the provider. The consumer does not manage or control the underlying Cloud infrastructure including network, servers, operating systems, or storage, but has control over the deployed applications and possibly application hosting environment configurations.",,Glossary
Cloud Computing - NIST Definition of Service Models - Cloud Software as a Service (SaaS),"The capability provided to the consumer is to use the provider’s applications running on a Cloud infrastructure. The applications are accessible from various client devices through a thin client interface such as a web browser (e.g., web-based email). The consumer does not manage or control the underlying Cloud infrastructure including network, servers, operating systems, storage, or even individual application capabilities, with the possible exception of limited user-specific application.",,Glossary
Cloud Service Provider (CSP),The business or entity providing Cloud services.,,Glossary
Cold Site,A remote facility that provides the equipment necessary for data and process restoration.,,Glossary
Co-Location,"A colocation (colo) is a data center facility in which a business can rent space for servers and other computing hardware. Typically, a colo provides the building, cooling, power, bandwidth and physical security while the customer provides servers and storage.",WhatIs.com,Glossary
Communications Plan,A tool for communicating information on the considerations and implications of Assessee business continuity to improve decision making.,,Glossary
Complex Password,"A password that combines alphabetic and non-alphabetic characters, such as special or numeric characters.",,Glossary
